"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,2.91034523024407,0.135,0.025,0,"LAG3","CD8+ T-cells"
"0",0,1.97029727257284,0.219,0.109,0,"BATF","CD8+ T-cells"
"0",0,3.69093141744809,0.121,0.011,0,"LIME1","CD8+ T-cells"
"0",0,3.4770875528451,0.121,0.011,0,"DENND1C","CD8+ T-cells"
"0",0,2.64301309506425,0.144,0.034,0,"ARAP2","CD8+ T-cells"
"0",0,1.34632417659675,0.316,0.207,0,"CFLAR","CD8+ T-cells"
"0",0,2.54208502498045,0.14,0.031,0,"OASL","CD8+ T-cells"
"0",0,3.28807189683929,0.123,0.014,0,"SLAMF1","CD8+ T-cells"
"0",0,3.42567802659263,0.121,0.012,0,"CXCR6","CD8+ T-cells"
"0",0,1.72434215010721,0.224,0.115,0,"ATM","CD8+ T-cells"
"0",0,3.299247569424,0.155,0.046,0,"LYZ","CD8+ T-cells"
"0",0,1.18367683988174,0.703,0.594,0,"DUSP1","CD8+ T-cells"
"0",0,1.31012723128776,0.321,0.214,0,"ANXA6","CD8+ T-cells"
